sector,INST_NAME,n_total,oa_share,n_total_sec
"Government Research
 Agencies",Landesuntersuchungsanstalt für das Gesundheits- und Veterinärwesen (LUA) Sachsen,23,0.2608695652173913,25092
"Government Research
 Agencies","Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",822,0.2639902676399027,25092
"Government Research
 Agencies",Niedersächsisches Landesamt für Verbraucherschutz und Lebensmittelsicherheit,27,0.3333333333333333,25092
"Government Research
 Agencies",Niedersächsisches Landesgesundheitsamt (NLGA),18,0.1111111111111111,25092
"Government Research
 Agencies",Nordwestdeutsche Forstliche Versuchsanstalt,92,0.358695652173913,25092
"Government Research
 Agencies",Paul-Ehrlich-Institut - Bundesamt für Sera und Impfstoffe,823,0.5188335358444714,25092
"Government Research
 Agencies",Physikalisch-Technische Bundesanstalt,2798,0.4260185847033595,25092
"Government Research
 Agencies",RLP AgroScience GmbH,62,0.4032258064516129,25092
"Government Research
 Agencies",Robert Koch-Institut,2817,0.6510472133475328,25092
"Government Research
 Agencies","Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG)",33,0.09090909090909091,25092
"Government Research
 Agencies","Sanitätsakademie der Bundeswehr, Ernst-von-Bergmann Kaserne",580,0.36551724137931035,25092
"Government Research
 Agencies",Staatliche Naturwissenschaftlichen Sammlungen Bayerns (SNSB),721,0.36615811373092927,25092
"Government Research
 Agencies",Staatliches Weinbauinstitut Freiburg,9,0.2222222222222222,25092
"Government Research
 Agencies",Thüringer Landesanstalt für Landwirtschaft,56,0.19642857142857142,25092
"Government Research
 Agencies",Umweltbundesamt,452,0.35398230088495575,25092
"Government Research
 Agencies","Wehrwissenschaftliches Institut für Werk-, Explosiv- und Betriebsstoffe",11,0.2727272727272727,25092
"Government Research
 Agencies",Zentrum für Militärgeschichte und Sozialwissenschaften der Bundeswehr,6,0.3333333333333333,25092
Helmholtz Association,Alfred-Wegener-Institut für Polar- und Meeresforschung,4701,0.6885768985322271,121181
Helmholtz Association,Deutsches Elektronen-Synchrotron,8269,0.8275486757769984,121181
Helmholtz Association,Deutsches Krebsforschungszentrum (DKFZ),12267,0.6188962256460422,121181
Helmholtz Association,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),7603,0.5333421018019203,121181
Helmholtz Association,Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE),4053,0.6207747347643721,121181
Helmholtz Association,ExtreMe Matter Institute EMMI,134,0.6865671641791045,121181
Helmholtz Association,Forschungszentrum Jülich GmbH (FZJ),14884,0.514377855415211,121181
Helmholtz Association,GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel,3694,0.6507850568489443,121181
Helmholtz Association,GMD-Forschungszentrum Informationstechnik GmbH,2,0,121181
Helmholtz Association,GSI Helmholtzzentrum für Schwerionenforschung,4292,0.630475302889096,121181
Helmholtz Association,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt (GmbH) HMGU,10141,0.6273543043092398,121181
Helmholtz Association,Helmholtz-Institut Jena,819,0.5311355311355311,121181
Helmholtz Association,Helmholtz-Zentrum Berlin für Materialien und Energie,5019,0.41960549910340705,121181
Helmholtz Association,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),4543,0.39599383667180277,121181
Helmholtz Association,Helmholtz-Zentrum für Infektionsforschung,3492,0.6709621993127147,121181
Helmholtz Association,Helmholtz-Zentrum für Umweltforschung GmbH - UFZ,5500,0.37036363636363634,121181
Helmholtz Association,Helmholtz-Zentrum Geesthacht Zentrum für Materialforschung und Küstenforschung,3305,0.4962178517397882,121181
Helmholtz Association,Helmholtz-Zentrum Potsdam Deutsches GeoForschungsZentrum - GFZ,4843,0.5789799710922982,121181
Helmholtz Association,Karlsruher Institut für Technologie,24878,0.4024841225178873,121181
Helmholtz Association,Max-Delbrück-Centrum für Molekulare Medizin (MDC) Berlin-Buch,3420,0.7318713450292398,121181
Helmholtz Association,Max-Planck-Institut für Plasmaphysik (IPP),3325,0.7443609022556391,121181
Leibniz Association,Akademie für Raumforschung und Landesplanung - Leibniz-Forum für Raumwissenschaften (ARL),4,0.25,56620
Leibniz Association,Bernhard-Nocht-Institut für Tropenmedizin (BNI),960,0.6666666666666666,56620
Leibniz Association,Biodiversität und Klima Forschungszentrum (BiK-F),1189,0.4272497897392767,56620
Leibniz Association,Bremer Institut für Präventionsforschung und Sozialmedizin (BIPS),753,0.5790172642762285,56620
Leibniz Association,Deutsche Forschungsanstalt für Lebensmittelchemie,174,0.19540229885057472,56620
Leibniz Association,Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH (DSMZ),1095,0.7287671232876712,56620
Leibniz Association,Deutsche Zentralbibliothek für Medizin (ZB MED),1,0,56620
Leibniz Association,Deutsches Bergbau-Museum (DBM),36,0.2222222222222222,56620
Leibniz Association,Deutsches Diabetes-Zentrum (DDZ),471,0.49044585987261147,56620
Leibniz Association,Deutsches Forschungsinstitut für öffentliche Verwaltung Speyer,27,0,56620
Leibniz Association,Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen,21,0.23809523809523808,56620
Leibniz Association,Deutsches Institut für Internationale Pädagogische Forschung,472,0.4025423728813559,56620
Leibniz Association,Deutsches Institut für Wirtschaftsforschung e.V. (DIW Berlin),992,0.6512096774193549,56620
Leibniz Association,Deutsches Museum,88,0.32954545454545453,56620
Leibniz Association,Deutsches Primatenzentrum GmbH (DPZ),1002,0.6716566866267465,56620
Leibniz Association,Deutsches Rheuma-Forschungszentrum Berlin,931,0.5542427497314716,56620
